query,case_title,case_url
Article 11,"Meyyappa Chettiar vs Chidambaram Chettiar on 17 December, 1923",https://indiankanoon.org/docfragment/937459/?formInput=Article%2011
Article 11,"Kumarika Subarna Rekha Mani Devi And ... vs Ramakrishna Deo And Ors. on 1 December, 1966",https://indiankanoon.org/docfragment/12627/?formInput=Article%2011
Article 11,"Sanjiv Prakash vs Seema Kukreja & Ors. on 22 October, 2020",https://indiankanoon.org/docfragment/134848983/?formInput=Article%2011
Article 11,"Mrs. Panzy Fernandas vs Mrs. M.F. Queoros And Ors. on 12 October, 1962",https://indiankanoon.org/docfragment/1731487/?formInput=Article%2011
Article 11,"The State Of Madhya Pradesh vs Seth Gowardhandas S/O Seth ... on 17 October, 1992",https://indiankanoon.org/docfragment/434808/?formInput=Article%2011
Article 11,"C.V. Venugopal Mudali vs C. Venkatasubbiah Chetty And Three Ors. on 2 February, 1915",https://indiankanoon.org/docfragment/625606/?formInput=Article%2011
Article 11,"Nogendra Lal Chowdhury vs Fani Bhusan Das on 15 January, 1918",https://indiankanoon.org/docfragment/1430218/?formInput=Article%2011
Article 12,"Article 12 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609139/
Article 12,"Ajay Hasia Etc vs Khalid Mujib Sehravardi & Ors. Etc on 13 November, 1980",https://indiankanoon.org/docfragment/1186368/?formInput=Article%2012
Article 12,Constitution of India,https://indiankanoon.org/doc/237570/
Article 12,"Central Inland Water ... vs Brojo Nath Ganguly & Anr on 6 April, 1986",https://indiankanoon.org/docfragment/477313/?formInput=Article%2012
Article 12,"Section 3 in The Customs Tariff Act, 1975
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/345301/
Article 12,"Steel Authority Of India Ltd. & Ors. ... vs National Union Water Front Workers & Ors on 30 August, 2001",https://indiankanoon.org/docfragment/277653/?formInput=Article%2012
Article 12,"Sukhdev Singh & Ors vs Bagatram Sardar Singh Raghuvanshi And ... on 21 February, 1975",https://indiankanoon.org/docfragment/974148/?formInput=Article%2012
Article 12,"K.Marappan vs The Deputy Registrar Of Co-Operative ... on 29 September, 2006",https://indiankanoon.org/docfragment/186075/?formInput=Article%2012
Article 12,"Zee Telefilms Ltd. & Anr vs Union Of India & Ors on 2 February, 2005",https://indiankanoon.org/docfragment/404603/?formInput=Article%2012
Article 12,"Thalappalam Ser.Coop.Bank Ltd.& Ors vs State Of Kerala & Ors on 7 October, 2013",https://indiankanoon.org/docfragment/37517217/?formInput=Article%2012
Article 13,"Article 13 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/134715/
Article 13,Constitution of India,https://indiankanoon.org/doc/237570/
Article 13,"Article 368 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/594125/
Article 13,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",https://indiankanoon.org/docfragment/257876/?formInput=Article%2013
Article 13,"Union Of India And Anr vs Azadi Bachao Andolan And Anr on 7 October, 2003",https://indiankanoon.org/docfragment/1960330/?formInput=Article%2013
Article 13,"THE CONSTITUTION (FIRST AMENDMENT) ACT, 1951",https://indiankanoon.org/doc/136460171/
Article 13,"Article 31A in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/660119/
Article 13,"Deep Chand vs The State Of Uttar Pradeshand ... on 15 January, 1959",https://indiankanoon.org/docfragment/570453/?formInput=Article%2013
Article 13,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 13,"THE CONSTITUTION (SEVENTH AMENDMENT) ACT, 1956",https://indiankanoon.org/doc/156973329/
Article 14,"Article 14 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/367586/
Article 14,"Section 377 in The Indian Penal Code, 1860
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1836974/
Article 14,"Secretary, State Of Karnataka And ... vs Umadevi And Others on 10 April, 2006",https://indiankanoon.org/docfragment/179794777/?formInput=Article%2014
Article 14,"Ramana Dayaram Shetty vs The International Airport Authority Of ... on 4 May, 1979",https://indiankanoon.org/docfragment/1281050/?formInput=Article%2014
Article 14,"Union Of India vs Tarsem Singh on 19 September, 2019",https://indiankanoon.org/docfragment/92512441/?formInput=Article%2014
Article 14,"State Of Jammu & Kashmir vs Triloki Nath Khosa & Ors on 26 September, 1973",https://indiankanoon.org/docfragment/1264252/?formInput=Article%2014
Article 14,"Maneka Gandhi vs Union Of India on 25 January, 1978",https://indiankanoon.org/docfragment/1766147/?formInput=Article%2014
Article 14,"Union Of India And Another vs Tulsiram Patel And Others on 11 July, 1985",https://indiankanoon.org/docfragment/1134697/?formInput=Article%2014
Article 14,"Secretary, State Of Karnataka And ... vs Umadevi And Others on 10 April, 2006",https://indiankanoon.org/docfragment/1591733/?formInput=Article%2014
Article 14,"A.R. Antulay vs R.S. Nayak & Anr on 29 April, 1988",https://indiankanoon.org/docfragment/1353689/?formInput=Article%2014
Article 15,"Article 21 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1199182/
Article 15,"Section 377 in The Indian Penal Code, 1860
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1836974/
Article 15,"Article 15 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609295/
Article 15,"Indra Sawhney Etc. Etc vs Union Of India And Others, Etc. Etc. on 16 November, 1992",https://indiankanoon.org/docfragment/1363234/?formInput=Article%2015
Article 15,"Section 497 in The Indian Penal Code, 1860
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1833006/
Article 15,Constitution of India,https://indiankanoon.org/doc/237570/
Article 15,"Prathvi Raj Chauhan vs Union Of India on 10 February, 2020",https://indiankanoon.org/docfragment/31336209/?formInput=Article%2015
Article 15,"Ashoka Kumar Thakur vs Union Of India & Ors on 10 April, 2008",https://indiankanoon.org/docfragment/63489929/?formInput=Article%2015
Article 15,"Kailash Chand Sharma vs State Of Rajasthan & Ors on 30 July, 2002",https://indiankanoon.org/docfragment/312106/?formInput=Article%2015
Article 15,"THE CONSTITUTION (FIRST AMENDMENT) ACT, 1951",https://indiankanoon.org/doc/136460171/
Article 16,"Article 14 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/367586/
Article 16,"Article 16 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/211089/
Article 16,"Secretary, State Of Karnataka And ... vs Umadevi And Others on 10 April, 2006",https://indiankanoon.org/docfragment/179794777/?formInput=Article%2016
Article 16,"Article 15 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609295/
Article 16,"Indra Sawhney Etc. Etc vs Union Of India And Others, Etc. Etc. on 16 November, 1992",https://indiankanoon.org/docfragment/1363234/?formInput=Article%2016
Article 16,"Secretary, State Of Karnataka And ... vs Umadevi And Others on 10 April, 2006",https://indiankanoon.org/docfragment/1591733/?formInput=Article%2016
Article 16,Constitution of India,https://indiankanoon.org/doc/237570/
Article 16,"Article 335 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1113850/
Article 16,"Article 320 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1723820/
Article 16,"M.Nagaraj & Others vs Union Of India & Others on 19 October, 2006",https://indiankanoon.org/docfragment/102852/?formInput=Article%2016
Article 17,"Article 17 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1987997/
Article 17,Constitution of India,https://indiankanoon.org/doc/237570/
Article 17,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 17,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 17,"Section 7 in The Protection Of Civil Rights Act, 1955
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1326407/
Article 17,"Minor C.R. Ramaswami Aiyangar, ... vs C.S. Rangachariar And Ors. on 6 October, 1939",https://indiankanoon.org/docfragment/1872476/?formInput=Article%2017
Article 17,"Section 4 in The Suits Valuation Act, 1887
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1531709/
Article 17,"Jai Singh And Anr. vs Union Of India (Uoi) And Ors. on 28 January, 1993",https://indiankanoon.org/docfragment/1154876/?formInput=Article%2017
Article 17,"Jagdish Pershad And Ors. vs Joti Pershad And Ors. on 16 December, 1974",https://indiankanoon.org/docfragment/37709/?formInput=Article%2017
Article 17,"Shailendra Bhardwaj & Ors vs Chandra Pal & Anr on 21 November, 2012",https://indiankanoon.org/docfragment/133208598/?formInput=Article%2017
Article 18,Constitution of India,https://indiankanoon.org/doc/237570/
Article 18,"Article 18 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1163710/
Article 18,"THE CONSTITUTION (FORTY-SECOND AMENDMENT) ACT, 1976",https://indiankanoon.org/doc/50073852/
Article 18,"THE CONSTITUTION (SEVENTH AMENDMENT) ACT, 1956",https://indiankanoon.org/doc/156973329/
Article 18,"THE CONSTITUTION (FORTY-FOURTH AMENDMENT) ACT, 1978",https://indiankanoon.org/doc/39266478/
Article 18,"Himachal Pradesh State Electricity ... vs M/S. Jai Prakash Power Ventures Limited ... on 6 February, 2012",https://indiankanoon.org/docfragment/122653470/?formInput=Article%2018
Article 18,"East And West Insurance Co. Ltd. vs Kamala Jayantilal Mehta on 13 February, 1956",https://indiankanoon.org/docfragment/1561312/?formInput=Article%2018
Article 18,"Balaji Raghavan/S.P.Anand vs Union Of India on 15 December, 1995",https://indiankanoon.org/docfragment/1882300/?formInput=Article%2018
Article 18,"Dr.Meera Thinakaran vs The State Of Tamil Nadu on 14 March, 2012",https://indiankanoon.org/docfragment/9728631/?formInput=Article%2018
Article 18,"Balaji Raghavan S.P. Anand vs Union Of India on 15 December, 1995",https://indiankanoon.org/docfragment/171223892/?formInput=Article%2018
Article 19,"Article 226 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1712542/
Article 19,"Article 227 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1331149/
Article 19,"Article 21 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1199182/
Article 19,"Article 14 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/367586/
